Ticker,Date,Pos,Neu,Neg,Normalized,Close,Returns,12-day Rolling,5-day Rolling,3-day Rolling,12-day Rolling Std,5-day Rolling Std,3-day Rolling Std,difference 1-day,difference 3-days,direction 1-day,direction 3-days
A,2019-08-14,0.101,0.884,0.014,1,65.59,-0.030307510348905886,-0.005656793871945408,-0.006860311749959336,-0.01481079668224187,0.0202232256285806,0.02459788680080244,0.025959083736028826,-2.049999999999997,-3.049999999999997,0,0
AAL,2019-10-24,0.133,0.847,0.02,1,29.41,0.039589961117002526,0.009594852324321427,0.01052607218706092,0.009357638630023887,0.015566603628357942,0.019244761515602317,0.027055658775689554,1.120000000000001,0.7899999999999991,1,1
AAP,2019-11-12,0.121,0.863,0.015,1,156.14,-0.07510958417249147,-0.004594054516851465,-0.014185948246427937,-0.025910922687099085,0.02403197805195099,0.035081142685181456,0.043718519061138876,-12.680000000000007,-13.140000000000015,0,0
AAPL,2019-10-30,0.13,0.851,0.018,1,243.26,-0.00012330963048212684,0.0026265440336440495,0.00014539833012163771,-0.004411387528517626,0.010672019332614155,0.014049430330865894,0.016983436740855288,-0.030000000000001137,-3.3200000000000216,0,0
ABBV,2019-11-01,0.118,0.862,0.02,1,81.75,0.027655562539283585,0.00755137688845479,0.01334944466585517,0.013813241689823194,0.011846580638606104,0.012865365065653911,0.01456533854164918,2.200000000000003,3.280000000000001,1,1
ABC,2019-11-07,0.173,0.81,0.017,1,84.08,-0.007437138472435323,-0.001831298303798079,-0.0029754755495092766,-0.013193662490484334,0.015182070515826292,0.014875711216882054,0.0050025214997517515,-0.6299999999999955,-3.4200000000000017,0,0
ABMD,2019-10-31,0.128,0.841,0.031,1,207.58,0.1419926280464323,0.013798440101716575,0.030457836281952068,0.04348457726359589,0.04443620142379589,0.06344319460166838,0.08607202618762501,25.810000000000002,23.670000000000016,1,1
ABT,2019-10-16,0.138,0.843,0.02,1,81.78,-0.0024396194193706533,-0.001740648534887081,0.005738750843246487,0.00900243433006298,0.018731558115933324,0.013082206644336476,0.015824111941444705,-0.20000000000000284,2.1500000000000057,0,1
ACN,2019-09-26,0.135,0.859,0.007,1,192.12,0.006548960025148043,0.001112948908431462,-0.0026048081223396303,-0.0012043360690272193,0.009178396386950876,0.00847480483926292,0.011164956081139888,1.25,-0.7199999999999989,1,0
ADBE,2019-09-17,0.134,0.855,0.011,1,284.69,0.006220619941328165,-0.0005137536280522917,0.006132939796301873,0.007953896484216553,0.010644796054172954,0.006300718258075132,0.0077797540718915065,1.759999999999991,6.670000000000016,1,1
ADI,2019-08-21,0.124,0.851,0.025,1,108.59,-0.015413908785928077,0.0009132080924914484,-0.0030445719918154924,-0.00581614165158828,0.01948346782719761,0.015306227588446276,0.01080174961936218,-1.7000000000000028,-1.9299999999999926,0,0
ADM,2019-10-31,0.107,0.868,0.025,1,42.04,0.0372563533185295,0.003578676545657291,0.00747945280237301,0.006244110036680832,0.01569788967391835,0.021656221471462397,0.03044911939592025,1.509999999999998,0.740000000000002,1,1
ADP,2019-10-30,0.11,0.871,0.019,1,164.15,0.008106614260271483,0.0008953805961179803,0.005104827431464898,0.004490464945566819,0.008433273295339945,0.007195853169548954,0.0031759220114373735,1.3199999999999932,2.1899999999999977,1,1
ADS,2019-10-24,0.127,0.85,0.024,1,107.02,-0.13526179702650298,-0.00769976605473352,-0.02639130291406988,-0.047790649333330215,0.04175992347324268,0.0611346219452476,0.07576007212634407,-16.74000000000001,-17.75,0,0
ADSK,2019-08-27,0.121,0.867,0.012,1,150.21,0.016305818673883588,-0.000465667791136104,0.005026403370411603,0.011454788095594304,0.018569195624014104,0.015437895489580097,0.017930018950077644,2.4099999999999966,5.0,1,1
AEE,2019-11-08,0.126,0.864,0.01,1,73.81,-0.010987538523381968,-0.003532753514397293,-0.009311791297081328,-0.005097123034459712,0.010609255187819308,0.009909508213635598,0.011365334311642633,-0.8199999999999932,-1.1499999999999915,0,0
AEP,2019-10-24,0.129,0.857,0.014,1,95.72,0.01355357899195253,0.0028192609150137584,0.005802134843551165,0.004380322488929944,0.006251925495883133,0.007077552774667512,0.00859724014989053,1.2800000000000011,1.2399999999999949,1,1
AES,2019-11-06,0.112,0.87,0.018,1,17.68,0.028504944735311177,0.0061929078666611475,0.005568872347901465,0.003387269997998691,0.01588888639975371,0.020448340277590592,0.02212300540867076,0.48999999999999844,0.16999999999999815,1,1
AFL,2019-10-24,0.087,0.89,0.022,1,52.56,0.0017152658662094034,0.002462258005772618,-0.00033207869695526247,-0.002134874575626814,0.005487610262813718,0.004998126270273941,0.006021267975884501,0.09000000000000341,-0.3399999999999963,1,0
AIG,2019-11-01,0.113,0.843,0.044,1,53.76,0.015105740181268867,-0.0008433988084865137,0.003649842760778288,0.010515778454039356,0.01046878740214615,0.009967519430024536,0.004273131747397069,0.7999999999999972,1.6599999999999966,1,1
AIV,2019-10-31,0.112,0.867,0.022,1,54.88,0.00512820512820511,0.001981748837260766,0.001409244434207757,0.005229509592453459,0.005365062405575065,0.0068361182152095615,0.006206183215774168,0.28000000000000114,0.8500000000000014,1,1
AJG,2019-10-24,0.138,0.836,0.025,1,91.21,0.01175818080976132,0.004186396046710829,0.004419931054291526,0.003267733234350071,0.004545978016129528,0.007220656324289799,0.009629829364166726,1.059999999999988,0.8799999999999955,1,1
AKAM,2019-10-28,0.146,0.833,0.022,1,89.48,0.003701626472237818,0.00017607670254550048,-0.005195947121818212,-0.002730774307252585,0.011779640582921228,0.016135750987702393,0.0056874402065065265,0.3299999999999983,-0.7399999999999949,1,0
ALB,2019-11-06,0.104,0.876,0.021,1,66.72,-0.009648211370046123,1.3652312730501789e-05,0.013238965005695724,0.011750833827830487,0.037721300079873885,0.04024338839394296,0.03301642295614872,-0.6500000000000057,2.230000000000004,0,1
ALGN,2019-10-23,0.084,0.899,0.017,1,217.5,0.018258426966292207,0.013895283226849159,0.0056443657316243455,0.005751195538430916,0.014280405109512449,0.015067925628327568,0.02053973027449133,3.9000000000000057,3.6200000000000045,1,1
ALK,2019-10-24,0.138,0.847,0.015,1,68.76,-0.002176752285589778,0.007141753001361449,0.00535466400045217,-0.0013503087759358194,0.011888607386577963,0.015574028055997901,0.0031910410507005552,-0.14999999999999147,-0.28000000000000114,0,0
ALL,2019-10-29,0.117,0.856,0.027,1,108.22,0.015196998123827354,0.0002546974034055756,0.0013744805811609195,-6.4228905712486e-05,0.008230290868892955,0.009829144484251378,0.013328954968141177,1.6200000000000045,-0.04000000000000625,1,0
ALLE,2019-10-24,0.114,0.871,0.015,1,113.66,0.08901025198811907,0.009103645345822892,0.01828096968081656,0.027581282161363203,0.026832062045943367,0.04011571505894495,0.0534552998908849,9.289999999999992,8.629999999999995,1,1
ALXN,2019-10-23,0.128,0.856,0.015,1,106.63,0.07403303787268323,0.008098692434364091,0.01444700327616022,0.027737653574229637,0.03262756655439378,0.036990726070151886,0.04436070960397,7.349999999999994,8.219999999999999,1,1
AMAT,2019-11-14,0.099,0.882,0.019,1,56.96,-0.0028011204481792618,0.002180566335921249,0.0036410550978276833,0.002200587706723415,0.009863439516624814,0.007193712275022883,0.008839548968586958,-0.1599999999999966,0.36999999999999744,0,1
AMD,2019-10-29,0.124,0.864,0.013,1,33.03,-0.019590382902938464,0.008909559119803808,0.009659932979323282,0.013860155528371462,0.018516971708323844,0.022041846577950032,0.02897576080494388,-0.6599999999999966,1.3100000000000023,0,1
AME,2019-10-31,0.123,0.86,0.017,1,91.65,0.003723579016537082,0.002406172715335525,0.005630804820967605,0.004612489231112423,0.005622321731251523,0.006430831737754864,0.008583839619006502,0.3400000000000034,1.25,1,1
AMG,2019-10-28,0.161,0.827,0.012,1,81.5,0.05378846651150759,0.009329668980776612,0.015691718195925342,0.019230981742588305,0.01992904421133501,0.022664161331429036,0.0301641139965727,4.159999999999997,4.459999999999994,1,1
AMGN,2019-10-29,0.106,0.876,0.018,1,208.99,0.01941368713721281,0.0033673695997144073,0.004073299222428872,0.009672411829016903,0.008165053841770475,0.010524880591589477,0.009731481661795658,3.980000000000018,5.930000000000007,1,1
AMP,2019-10-23,0.147,0.837,0.017,1,143.47,0.007160407160407223,0.005411592596493144,0.005287298682924479,0.003512359146111921,0.018603638308431363,0.010957483263723065,0.014848832989959806,1.0200000000000102,1.4699999999999989,1,1
AMT,2019-10-31,0.105,0.877,0.018,1,218.08,0.003866691217087048,-0.0021735486405978313,-0.00464371626208866,0.011511071880071944,0.01705959036451519,0.02378820311247869,0.012275186588061851,0.8400000000000034,7.3300000000000125,1,1
AMZN,2019-10-24,0.125,0.861,0.014,1,1780.78,0.010560842597479247,0.00365322297942249,-0.0006732205171924965,-0.0008721533292923578,0.010210404151010403,0.01392447853353446,0.010906084301076162,18.6099999999999,-4.880000000000109,1,0
ANET,2019-10-31,0.08,0.898,0.022,1,244.57,-0.00690299265034322,0.001359438491070906,0.004436843359027431,-0.005818199263614969,0.016368442528773126,0.014824211252460305,0.006603338817818876,-1.700000000000017,-4.3300000000000125,0,0
ANSS,2019-11-06,0.143,0.842,0.015,1,218.73,0.003532758304275907,7.431667945378047e-05,-0.005755302274919827,-0.0019046857828685464,0.014272404056207028,0.011017799323911866,0.008334377594940639,0.7699999999999818,-1.2700000000000102,1,0
ANTM,2019-10-23,0.158,0.828,0.014,1,263.51,0.012526416906820437,0.0076808287844370255,0.01469580653998721,0.018537776819432843,0.022241956654585674,0.009962050950621784,0.008586373704646044,3.259999999999991,14.109999999999985,1,1
