Date,Open,High,Low,Close,Adj Close,Volume
1996-11-07,26.657705,26.769712,26.377687,26.657705,13.474323,93500
1996-11-08,26.713709,26.825716,26.377687,26.713709,13.502629,26300
1996-11-11,27.049730,27.217741,26.713709,27.049730,13.672476,22000
1996-11-12,26.825716,27.105734,26.657705,26.825716,13.559248,78300
1996-11-13,26.769712,26.881720,26.433691,26.769712,13.530941,27000
1996-11-14,26.601702,26.769712,26.433691,26.601702,13.446016,48600
1996-11-15,26.825716,26.881720,26.601702,26.825716,13.559248,25400
1996-11-18,26.713709,26.769712,26.377687,26.713709,13.502629,104900
1996-11-19,26.489695,26.545698,26.097670,26.489695,13.389403,83900
1996-11-20,26.433691,26.545698,26.209677,26.433691,13.361094,220500
1996-11-21,26.377687,26.545698,26.153673,26.377687,13.332788,56400
1996-11-22,26.545698,26.657705,26.265680,26.545698,13.417708,59100
1996-11-25,26.321684,26.545698,26.209677,26.321684,13.304480,37700
1996-11-26,26.097670,26.265680,25.929659,26.097670,13.191249,243000
1996-11-27,26.209677,26.321684,25.929659,26.209677,13.247867,43000
1996-11-29,26.153673,26.377687,25.985662,26.153673,13.219555,19100
1996-12-02,25.985662,26.097670,25.649641,25.985662,13.134636,35700
1996-12-03,26.153673,26.209677,25.537634,26.153673,13.219555,100200
1996-12-04,25.873655,26.244680,25.817652,25.873655,13.078021,78300
1996-12-05,26.097670,26.377687,25.705645,26.097670,13.191249,40300
1996-12-06,25.649641,25.985662,25.537634,25.649641,12.964791,69100
1996-12-09,25.817652,25.873655,25.481630,25.817652,13.049712,161100
1996-12-10,26.097670,26.433691,25.649641,26.097670,13.191249,86600
1996-12-11,26.153673,26.377687,25.537634,26.153673,13.219555,40300
1996-12-12,26.153673,26.153673,25.761648,26.153673,13.219555,82500
1996-12-13,25.985662,25.985662,25.425627,25.985662,13.134636,57100
1996-12-16,26.097670,26.097670,25.593637,26.097670,13.191249,178300
1996-12-17,26.041666,26.041666,25.649641,26.041666,13.162941,335200
1996-12-18,25.873655,25.929659,25.411627,25.873655,13.078021,481400
1996-12-19,25.257616,25.425627,25.033602,25.257616,12.766640,277600
1996-12-20,25.257616,25.369623,24.977598,25.257616,12.766640,191200
1996-12-23,25.201612,25.257616,24.865591,25.201612,12.738330,469100
1996-12-24,25.033602,25.201612,24.641577,25.033602,12.653414,394300
1996-12-26,24.977598,25.145609,24.697580,24.977598,12.625103,265300
1996-12-27,25.089605,25.257616,24.809587,25.089605,12.681719,353100
1996-12-30,25.649641,25.649641,25.537634,25.649641,12.964791,420700
1996-12-31,25.761648,25.873655,25.313620,25.761648,13.021402,170000
1997-01-02,25.593637,25.761648,25.369623,25.593637,12.936484,451000
1997-01-03,25.425627,25.649641,25.173611,25.425627,12.851560,759300
1997-01-06,25.369623,25.537634,25.145609,25.369623,12.823255,440500
1997-01-07,25.425627,25.537634,25.089605,25.425627,12.851560,597200
1997-01-08,25.369623,25.649641,25.201612,25.369623,12.823255,1456300
1997-01-09,25.537634,25.649641,25.257616,25.537634,12.908175,603700
1997-01-10,25.369623,25.481630,24.977598,25.369623,12.823255,811100
1997-01-13,25.537634,25.649641,25.201612,25.537634,12.908175,1252500
1997-01-14,25.537634,25.705645,25.313620,25.537634,12.908175,1118200
1997-01-15,25.425627,25.593637,25.222614,25.425627,12.851560,1519700
1997-01-16,25.369623,25.537634,25.145609,25.369623,12.823255,1291600
1997-01-17,25.033602,25.537634,24.697580,25.033602,12.653414,1527500
1997-01-20,24.585573,24.809587,24.193548,24.585573,12.426950,862600
1997-01-21,24.473566,24.697580,23.241488,24.473566,12.370337,3189700
1997-01-22,24.809587,24.865591,24.193548,24.809587,12.540182,1796000
1997-01-23,25.033602,25.313620,24.865591,25.033602,12.653414,3276500
1997-01-24,25.313620,25.369623,24.753584,25.313620,12.794944,527800
